id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
11640402-0,11640402,103981999,5290136950,43.40209749754776,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6607439 40.3500730, -74.6607490 40.3501130, -74.6608955 40.3504444)"
11640402-1,11640402,5290136950,104087022,63.635084010113104,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6608955 40.3504444, -74.6611143 40.3509400, -74.6611322 40.3509868)"
11640515-0,11640515,103984134,8942467657,13.794767265816375,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6615711 40.3498113, -74.6614165 40.3498497)"
11640515-1,11640515,8942467657,103984132,7.631241547752526,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6614165 40.3498497, -74.6613310 40.3498710)"
11640515-2,11640515,103984132,103984130,24.40839807734398,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6613310 40.3498710, -74.6610561 40.3499357)"
11640515-3,11640515,103984130,8942467660,6.324871781760246,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6610561 40.3499357, -74.6609857 40.3499544)"
11640515-4,11640515,8942467660,103981999,25.94417137759273,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6609857 40.3499544, -74.6608261 40.3499969, -74.6607777 40.3500180, -74.6607558 40.3500407, -74.6607439 40.3500730)"
11640550-0,11640550,103985044,4828006409,68.55152542567757,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6621001 40.3507497, -74.6620794 40.3506983, -74.6618651 40.3502123, -74.6618446 40.3501655)"
11640550-1,11640550,4828006409,103984134,49.40721568532938,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6618446 40.3501655, -74.6617219 40.3498850, -74.6616900 40.3498464, -74.6616509 40.3498194, -74.6616129 40.3498100, -74.6615711 40.3498113)"
11641569-0,11641569,104004796,8948919377,6.958248304622912,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6562573 40.3493791, -74.6561819 40.3494037)"
