SegmentID,M,D,HH,Yr,Boro,Vol,WktGeom,street,fromSt,toSt,Direction
36369,10,17,17,2023,Manhattan,2356,POINT (994214.9732317923 216043.31446641852),EAST 58 STREET,Ed Koch Queensboro Bridge Appr,2 Avenue,NB
36369,10,17,16,2023,Manhattan,2308,POINT (994214.9732317923 216043.31446641852),EAST 58 STREET,Ed Koch Queensboro Bridge Appr,2 Avenue,NB
36369,10,17,18,2023,Manhattan,2143,POINT (994214.9732317923 216043.31446641852),EAST 58 STREET,Ed Koch Queensboro Bridge Appr,2 Avenue,NB
36369,10,17,19,2023,Manhattan,2125,POINT (994214.9732317923 216043.31446641852),EAST 58 STREET,Ed Koch Queensboro Bridge Appr,2 Avenue,NB
36369,10,17,15,2023,Manhattan,1859,POINT (994214.9732317923 216043.31446641852),EAST 58 STREET,Ed Koch Queensboro Bridge Appr,2 Avenue,NB
35738,4,23,16,2023,Manhattan,1841,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
35738,4,23,0,2023,Manhattan,1740,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
35738,4,23,19,2023,Manhattan,1699,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
35738,4,23,17,2023,Manhattan,1679,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
35738,4,23,18,2023,Manhattan,1677,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
35738,4,23,15,2023,Manhattan,1635,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
146631,11,1,17,2023,Manhattan,1535,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
35738,4,24,18,2023,Manhattan,1529,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
146631,11,3,15,2023,Manhattan,1508,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
35738,4,24,15,2023,Manhattan,1505,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
35738,4,24,16,2023,Manhattan,1504,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
146631,11,3,17,2023,Manhattan,1499,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
146631,11,3,16,2023,Manhattan,1486,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
35738,4,23,14,2023,Manhattan,1453,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
146631,11,1,18,2023,Manhattan,1449,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
35738,4,23,13,2023,Manhattan,1444,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
146631,11,2,18,2023,Manhattan,1437,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
146631,11,3,18,2023,Manhattan,1436,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
36369,10,17,20,2023,Manhattan,1433,POINT (994214.9732317923 216043.31446641852),EAST 58 STREET,Ed Koch Queensboro Bridge Appr,2 Avenue,NB
146631,11,3,19,2023,Manhattan,1424,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
71036,11,2,7,2023,Manhattan,1421,POINT (1002564.5610851326 240983.75683398134),MACOMBS DAM BRIDGE,Harlem River Shoreline,Harlem River Shoreline,WB
71036,11,1,7,2023,Manhattan,1420,POINT (1002564.5610851326 240983.75683398134),MACOMBS DAM BRIDGE,Harlem River Shoreline,Harlem River Shoreline,WB
146631,11,1,15,2023,Manhattan,1414,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
35738,4,23,12,2023,Manhattan,1411,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
35738,4,23,20,2023,Manhattan,1403,POINT (990295.6651846746 210936.71139934732),3 AVENUE,East 33 Street,East 34 Street,NB
146631,11,1,16,2023,Manhattan,1396,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,EB
